datumId,datum,dag,dagVanWeek,dagNaam,week,maand,maandNaam,kwartaal,jaar
0,1980-01-01,1,1,dinsdag,1,1,januari,1,1980
1,1980-01-02,2,2,woensdag,1,1,januari,1,1980
2,1980-01-03,3,3,donderdag,1,1,januari,1,1980
3,1980-01-04,4,4,vrijdag,1,1,januari,1,1980
4,1980-01-05,5,5,zaterdag,1,1,januari,1,1980
5,1980-01-06,6,6,zondag,1,1,januari,1,1980
6,1980-01-07,7,0,maandag,2,1,januari,1,1980
7,1980-01-08,8,1,dinsdag,2,1,januari,1,1980
8,1980-01-09,9,2,woensdag,2,1,januari,1,1980
9,1980-01-10,10,3,donderdag,2,1,januari,1,1980
10,1980-01-11,11,4,vrijdag,2,1,januari,1,1980
11,1980-01-12,12,5,zaterdag,2,1,januari,1,1980
12,1980-01-13,13,6,zondag,2,1,januari,1,1980
13,1980-01-14,14,0,maandag,3,1,januari,1,1980
14,1980-01-15,15,1,dinsdag,3,1,januari,1,1980
15,1980-01-16,16,2,woensdag,3,1,januari,1,1980
16,1980-01-17,17,3,donderdag,3,1,januari,1,1980
17,1980-01-18,18,4,vrijdag,3,1,januari,1,1980
18,1980-01-19,19,5,zaterdag,3,1,januari,1,1980
19,1980-01-20,20,6,zondag,3,1,januari,1,1980
20,1980-01-21,21,0,maandag,4,1,januari,1,1980
21,1980-01-22,22,1,dinsdag,4,1,januari,1,1980
22,1980-01-23,23,2,woensdag,4,1,januari,1,1980
23,1980-01-24,24,3,donderdag,4,1,januari,1,1980
24,1980-01-25,25,4,vrijdag,4,1,januari,1,1980
25,1980-01-26,26,5,zaterdag,4,1,januari,1,1980
26,1980-01-27,27,6,zondag,4,1,januari,1,1980
27,1980-01-28,28,0,maandag,5,1,januari,1,1980
28,1980-01-29,29,1,dinsdag,5,1,januari,1,1980
29,1980-01-30,30,2,woensdag,5,1,januari,1,1980
30,1980-01-31,31,3,donderdag,5,1,januari,1,1980
31,1980-02-01,1,4,vrijdag,5,2,februari,1,1980
32,1980-02-02,2,5,zaterdag,5,2,februari,1,1980
33,1980-02-03,3,6,zondag,5,2,februari,1,1980
34,1980-02-04,4,0,maandag,6,2,februari,1,1980
35,1980-02-05,5,1,dinsdag,6,2,februari,1,1980
36,1980-02-06,6,2,woensdag,6,2,februari,1,1980
37,1980-02-07,7,3,donderdag,6,2,februari,1,1980
38,1980-02-08,8,4,vrijdag,6,2,februari,1,1980
39,1980-02-09,9,5,zaterdag,6,2,februari,1,1980
40,1980-02-10,10,6,zondag,6,2,februari,1,1980
41,1980-02-11,11,0,maandag,7,2,februari,1,1980
42,1980-02-12,12,1,dinsdag,7,2,februari,1,1980
43,1980-02-13,13,2,woensdag,7,2,februari,1,1980
44,1980-02-14,14,3,donderdag,7,2,februari,1,1980
45,1980-02-15,15,4,vrijdag,7,2,februari,1,1980
46,1980-02-16,16,5,zaterdag,7,2,februari,1,1980
47,1980-02-17,17,6,zondag,7,2,februari,1,1980
48,1980-02-18,18,0,maandag,8,2,februari,1,1980
49,1980-02-19,19,1,dinsdag,8,2,februari,1,1980
50,1980-02-20,20,2,woensdag,8,2,februari,1,1980
51,1980-02-21,21,3,donderdag,8,2,februari,1,1980
52,1980-02-22,22,4,vrijdag,8,2,februari,1,1980
53,1980-02-23,23,5,zaterdag,8,2,februari,1,1980
54,1980-02-24,24,6,zondag,8,2,februari,1,1980
55,1980-02-25,25,0,maandag,9,2,februari,1,1980
56,1980-02-26,26,1,dinsdag,9,2,februari,1,1980
57,1980-02-27,27,2,woensdag,9,2,februari,1,1980
58,1980-02-28,28,3,donderdag,9,2,februari,1,1980
59,1980-02-29,29,4,vrijdag,9,2,februari,1,1980
60,1980-03-01,1,5,zaterdag,9,3,maart,1,1980
61,1980-03-02,2,6,zondag,9,3,maart,1,1980
62,1980-03-03,3,0,maandag,10,3,maart,1,1980
63,1980-03-04,4,1,dinsdag,10,3,maart,1,1980
64,1980-03-05,5,2,woensdag,10,3,maart,1,1980
65,1980-03-06,6,3,donderdag,10,3,maart,1,1980
66,1980-03-07,7,4,vrijdag,10,3,maart,1,1980
67,1980-03-08,8,5,zaterdag,10,3,maart,1,1980
68,1980-03-09,9,6,zondag,10,3,maart,1,1980
69,1980-03-10,10,0,maandag,11,3,maart,1,1980
70,1980-03-11,11,1,dinsdag,11,3,maart,1,1980
71,1980-03-12,12,2,woensdag,11,3,maart,1,1980
72,1980-03-13,13,3,donderdag,11,3,maart,1,1980
73,1980-03-14,14,4,vrijdag,11,3,maart,1,1980
74,1980-03-15,15,5,zaterdag,11,3,maart,1,1980
75,1980-03-16,16,6,zondag,11,3,maart,1,1980
76,1980-03-17,17,0,maandag,12,3,maart,1,1980
77,1980-03-18,18,1,dinsdag,12,3,maart,1,1980
78,1980-03-19,19,2,woensdag,12,3,maart,1,1980
79,1980-03-20,20,3,donderdag,12,3,maart,1,1980
80,1980-03-21,21,4,vrijdag,12,3,maart,1,1980
81,1980-03-22,22,5,zaterdag,12,3,maart,1,1980
82,1980-03-23,23,6,zondag,12,3,maart,1,1980
83,1980-03-24,24,0,maandag,13,3,maart,1,1980
84,1980-03-25,25,1,dinsdag,13,3,maart,1,1980
85,1980-03-26,26,2,woensdag,13,3,maart,1,1980
86,1980-03-27,27,3,donderdag,13,3,maart,1,1980
87,1980-03-28,28,4,vrijdag,13,3,maart,1,1980
88,1980-03-29,29,5,zaterdag,13,3,maart,1,1980
